Kazimiera;Emijanowicz
Klemencja;Moci¹gowski
D¹brówka;Gescholwitz
Selma;Swiridow
Galla;Kondefor
Niegos³awa;Gruetz
Juda;Pezenka
Marietta;Zdzieblan
Witolda;Psoch
Prakseda;Czura³o
Maryla;Œlech
Klementyna;Chroszucha
Romana;Gwózd
Niemira;Prusecki
W³adys³awa;Kiszporski
Rebeka;Brywiarska
Romualda;To¿yñska
Tomis³awa;Kardela
Cyntia;GwiaŸdzieñski
Wac³awa;Lufniak
Szczêsna;Tychoniak
Berna;Pêdraszewski
Ida;Trynczyk
Petronia;Wierejko
Zenona;Bryda
Judyta;Czermulski
Laurentyna;G³owieñko
Augusta;Jadwisiañczak
Berenika;Mazieñ
Mœcis³awa;Protorczyn
Olimpia;G³odacka
Gawry³a;Czamai³o
Mirabella;Wêdal
Strze¿ys³awa;Zabik
Inga;Frantiuk
Franciszka;Zamiatowski
Ilia;Kuderlasek
Miranda;Dohler
Diomeda;Ludwig
Roberta;Stefaniów
Klotylda;Pnis
Domos³awa;Andrzej
Marcela;Leciaho
Pryscylla;Botha
Aniceta;Serdeczny
Eunika;Z¹bierek
Lechos³awa;Kawlikowska
Teodoryka;Binecki
Wis³awa;Pergandy
Marcjanna;Ze³otucha
Ksaweryna;Teege
Bernadetta;Gerembka
Lukrecja;Kaba³a
Stella;Foltin
Nadzieja;Barnetzki
Eryka;Korgull
Toma;Coballa
Miranda;Strunczak
Roœcis³awa;Foksz
Aurelia;Kakalec
Samanta;Rewek
Œcibora;Ungierska
Areta;Merlund
Boñcza;£aburzewska
Roberta;Kuri³o
Jagoda;Janczunski
Daria;Eisenbart
Aisza;Kuchciakowska
Felicyta;Meldner
Bo¿ys³awa;Grêbus
Ksaweryna;Pr¹dnicka
Wincentyna;Mosiejko
Bryda;Swajka
Lucjola;Kotola
Drogos³awa;Podpiórko
Warwara;Koczkin
Izabela;Mêta
Oliwia;Fendzioch
Daniela;Sier¿antowicz
Flawia;¯ygierewicz
Lilla;Mojsiewicz
Wiera;Kukielewski
Fryda;Malison
Alina;Dolejsi
Waldemara;Guch
Leontyna;Czuszek
Adolfa;Maskoñ
Mina;Zegza
Dobros³awa;Selwestronowicz
Irina;Mêczykiewicz
Anatolia;Zazyla
Laura;Mieschke
Bernardyna;Chmielczak
Michalina;Zabuski
Huberta;Kaczycki
Przec³awa;Tenczert
Saturnina;Brelak
Niegos³awa;Borec
Mi³os³awa;Berkhultz
Augusta;Mi³oszewski
Diana;Fornari
Cezaryna;Trybicki
Ganda;Kolegowicz
Przec³awa;Grzejdak
¯alina;Okupniak
Dobroniega;Ba³yœ
Arletta;Imber
Tekla;Maæko
Zofia;Wilcoch
Dalida;Jarmolenko
Adamina;Luwiñski
Bogumi³a;Komiszuk
Rozalia;Drociñska
Loretta;Paneta
Domis³awa;Laszczowski
Monika;Walaszyk
Zelmira;Borczakowski
Pryska;Kohlebek
Kordelia;Toporek
Tolis³awa;Wicko
Arletta;Kasznicki
Alma;Pleczke
Norberta;Wysokowski
Brygida;Bi³ostocka
Ludomira;Rzepeluk
Irmina;Wyrêbiak
Dalida;Czerwenski
Glikeria;Stelmuch
Domicela;Szenweld
Eliga;Kazakowska
Kalina;Gorznik
Szczêsna;Wenc
Krzesis³awa;Kukucis
Lucja;Kocien
Zofia;Helfojer
Rozyna;Zabêdzka
Zygfryda;Winiorek
Julita;£anikowska
Sêdzis³awa;Zbirenda
Leonarda;Harasiemowicz
Kunegunda;Bojmal
Wanda;Amieliañczyk
Liza;Hotowy
W³adys³awa;Gitlik
Gardenia;Szczegliñski
Witolda;Kowerek
Zbys³awa;Markiwicz
Domos³awa;Kuhajewicz
Alfreda;Gr¹ba³a
Gizela;Zywia³kowska
Aneta;Stetkowicz
Dobrocha;Cippar
Manfreda;Tec³af
Aga;Gryzik
Niemira;Konarzycki
Jaœmina;Fidor
Edwarda;Dublenko
Boguta;Æwider
Marlena;Bakaz
Halina;Opatrza³ek
Katarzyna;Chaækiewicz
Gertruda;Artymowycz
W³oœcis³awa;Masuras
Siecies³awa;Grysko
Magda;Szmolka
Ofelia;Dzierlikowska
Krzysztofa;Wa³ocka
Leonia;Cata
Leonarda;Gmuœlicka
Bernardyna;Czejaj
Eliza;Pyzak
Apolonia;Koszko
Alfonsyna;Czujkiewicz
Leopolda;Furda³a
Rafaela;Niewiedzio³
Ewdokia;Krauhs
Ernesta;Hauster
Eligia;Bia³koskórska
Pia;Szachlarski
Ligia;Jesin
Mina;Mireñko
Milena;Bagulski
Dalia;Burdenkow
Samanta;Œwic
Oswalda;Jausik
Luiza;Godzina
Zuzanna;Pierszczyñska
Orchidea;Ga³ej
Wojs³awa;Gembka
Godzis³awa;Warzyñski
Waldemara;Mansfeldt
Les³awa;Bzyluk
Wierzchos³awa;Siegieda
Klotylda;Budzeszewska
Gryzelda;Wemowska
Zelmira;Cyriak
Stefania;Rydelewski
Minodora;Chrzczanowski
Maria;Jakumulski
Zora;Chruszka
Domicela;Cyceñ
Rena;Szuraj
Wiwanna;Golicz
Tacjanna;Kamot
Lubomira;Wiecio³kowski
Ditta;Kaharko
Les³awa;Faleciñska
Dobromi³a;Œwidrów
Filipina;Rezmar
Paula;Peth
Pudecjanna;Falender
Eugenia;Artys
Kornelia;Hackemer
Wiêcemi³a;Deltów
Pia;Deszpot
Magda;Ma³oniewicz
Brygida;Molek
Kryspina;Rogosz
Dobies³awa;Sierpawski
Natasza;Ira
Ignacja;Œmardz
Les³awa;Smiernow
Pia;Wacinowski
Eliga;Fecht
Aurelia;Kopraska
Klarysa;Æwaruba
Adamina;Bonneck
Adelajda;Foœcik
Miriam;Cencarek
Ludmi³a;Kozij
Krystyna;Sudas
Melania;Golszmit
Andromeda;Supalerska
